"Name","Rule ID","Description","Impact","Section 508","Super Waggy"
,aria-progressbar-name,Ensures every ARIA progressbar node has an accessible name,Serious,false,true
,blink,Ensures <blink> elements are not used,Serious,true,true
,button-name,Ensures buttons have discernible text,Critical,true,true
,input-button-name,Ensures input buttons have discernible text,Critical,true,true
,label,Ensures every form element has a label,"Minor, Critical",true,true
,link-name,Ensures links have discernible text,Serious,true,true
,select-name,Ensures select element has an accessible name,"Minor, Critical",true,true
,svg-img-alt,"Ensures <svg> elements with an img, graphics-document or graphics-symbol role have an accessible text",Serious,true,true
,input-image-alt,"Ensures <input type=""image""> elements have alternate text",Critical,true,true
,server-side-image-map,Ensures that server-side image maps are not used,Minor,true,true
,area-alt,Ensures <area> elements of image maps have alternate text,Critical,true,true
,td-headers-attr,Ensure that each cell in a table that uses the headers attribute refers only to other cells in that table,Serious,true,true
,th-has-data-cells,Ensure that <th> elements and elements with role=columnheader/rowheader have data cells they describe,Serious,true,true
,video-caption,Ensures <video> elements have captions,Critical,true,true
,table-fake-caption,Ensure that tables with a caption use the <caption> element.,Serious,true,true
,td-has-header,Ensure that each non-empty data cell in a <table> larger than 3 by 3 has one or more table headers,Critical,true,true
,audio-caption,Ensures <audio> elements have captions,Critical,true,true
